,dataset,ensembl_id,event_id,iteration,p_value,spearman_r,gene_name
2850003,Actual,ENSG00000095485,isoform1=junction:chr10:102010090-102013177:-|isoform2=junction:chr10:102010678-102013177:-@novel_exon:chr10:102010580-102010677:-@junction:chr10:102010090-102010579:-,,0.017045979,0.432289608,CWF19L1
2850006,Actual,ENSG00000166167,isoform1=junction:chr10:103190210-103239124:+|isoform2=junction:chr10:103190210-103221737:+@exon:chr10:103221738-103221815:+@junction:chr10:103221816-103239124:+,,0.231665982,0.393122697,BTRC
2850008,Actual,ENSG00000148840,isoform1=junction:chr10:103901762-103904006:+|isoform2=junction:chr10:103901762-103902801:+@exon:chr10:103902802-103902855:+@junction:chr10:103902856-103904006:+,,0.10690754,-0.433012702,PPRC1
2850010,Actual,ENSG00000065613,isoform1=junction:chr10:105768115-105777917:+|isoform2=junction:chr10:105768115-105770573:+@exon:chr10:105770574-105770666:+@junction:chr10:105770667-105777917:+,,0.09973576,0.521749195,SLK
2850014,Actual,ENSG00000150593,isoform1=junction:chr10:112660285-112661295:-|isoform2=junction:chr10:112660881-112661295:-@exon:chr10:112660784-112660880:-@junction:chr10:112660285-112660783:-,,0.007936368,-0.562564297,PDCD4
2850025,Actual,ENSG00000165813,isoform1=junction:chr10:115923089-115933773:-@exon:chr10:115922396-115923088:-@junction:chr10:115917440-115922395:-|isoform2=junction:chr10:115933025-115933773:-@exon:chr10:115932900-115933024:-@junction:chr10:115917440-115932899:-,,0.026152554,-0.693470079,C10orf118
2850030,Actual,ENSG00000165669,isoform1=junction:chr10:120094726-120095065:-|isoform2=junction:chr10:120094939-120095065:-@exon:chr10:120094908-120094938:-@junction:chr10:120094726-120094907:-,,0.105228058,0.420084025,FAM204A
2850032,Actual,ENSG00000119979,isoform1=junction:chr10:120863710-120867459:+|isoform2=junction:chr10:120863710-120864275:+@exon:chr10:120864276-120864534:+@junction:chr10:120864535-120867459:+,,0.062501712,-0.509901951,FAM45A
2850038,Actual,ENSG00000107679,isoform1=junction:chr10:124186548-124189139:+|isoform2=junction:chr10:124186548-124187791:+@exon:chr10:124187792-124187936:+@junction:chr10:124187937-124189139:+,,0.254803603,0.39789946,PLEKHA1
2850039,Actual,ENSG00000138161,isoform1=junction:chr10:124608956-124615160:-|isoform2=junction:chr10:124610067-124615160:-@exon:chr10:124609940-124610066:-@junction:chr10:124608956-124609939:-,,0.046434618,-0.639602149,CUZD1
2850040,Actual,ENSG00000213185,isoform1=junction:chr10:124608956-124615160:-|isoform2=junction:chr10:124610067-124615160:-@exon:chr10:124609940-124610066:-@junction:chr10:124608956-124609939:-,,0.217586333,0.427699461,FAM24B
2850043,Actual,ENSG00000179988,isoform1=junction:chr10:124746479-124749689:+|isoform2=junction:chr10:124746479-124746849:+@exon:chr10:124746850-124747020:+@junction:chr10:124747021-124749689:+,,0.016290641,0.572614156,PSTK
2850044,Actual,ENSG00000196177,isoform1=junction:chr10:124794032-124799981:+|isoform2=junction:chr10:124794032-124797262:+@exon:chr10:124797263-124797363:+@junction:chr10:124797364-124799981:+,,0.018022548,0.488504211,ACADSB
