exon_id,filename_of_origin,nmd_classification
exon:chr10:101510126-101510153:+,ipsc_npc_mn_regression_targets.csv,Exclusion causes NMD (annotated)
exon:chr10:101935702-101935827:-,UPF1_K562_SE.MATS.JunctionCountOnly_targets.csv,Splicing not known to cause NMD
exon:chr10:103221738-103221815:+,correlated_actual_filtered_targets.csv,Splicing not known to cause NMD
exon:chr10:103343345-103343438:-,UPF1_K562_SE.MATS.ReadsOnTargetAndJunctionCounts_targets.csv,Exon not found
exon:chr10:103343345-103343438:-,UPF1_K562_SE.MATS.JunctionCountOnly_targets.csv,Exon not found
exon:chr10:103344635-103344676:-,UPF1_K562_SE.MATS.ReadsOnTargetAndJunctionCounts_targets.csv,Splicing not known to cause NMD
exon:chr10:103344635-103344676:-,UPF1_K562_SE.MATS.JunctionCountOnly_targets.csv,Splicing not known to cause NMD
exon:chr10:103542460-103542681:-,UPF1_K562_SE.MATS.ReadsOnTargetAndJunctionCounts_targets.csv,Exon not found
exon:chr10:103553443-103553501:-,UPF1_K562_SE.MATS.ReadsOnTargetAndJunctionCounts_targets.csv,Splicing not known to cause NMD
exon:chr10:103553443-103553501:-,UPF1_K562_SE.MATS.JunctionCountOnly_targets.csv,Splicing not known to cause NMD
exon:chr10:103555592-103555728:-,UPF1_K562_SE.MATS.ReadsOnTargetAndJunctionCounts_targets.csv,Exon not found
exon:chr10:103902802-103902855:+,correlated_actual_filtered_targets.csv,Splicing not known to cause NMD
exon:chr10:103904007-103904064:+,UPF1_K562_SE.MATS.JunctionCountOnly_targets.csv,Splicing not known to cause NMD
exon:chr10:103904007-103904064:+,UPF1_K562_SE.MATS.ReadsOnTargetAndJunctionCounts_targets.csv,Splicing not known to cause NMD
exon:chr10:104211156-104211312:+,ipsc_npc_mn_regression_targets.csv,Splicing not known to cause NMD
exon:chr10:104871502-104871562:-,UPF1_K562_SE.MATS.ReadsOnTargetAndJunctionCounts_targets.csv,Splicing not known to cause NMD
exon:chr10:104871502-104871562:-,UPF1_K562_SE.MATS.JunctionCountOnly_targets.csv,Splicing not known to cause NMD
exon:chr10:105155503-105155789:-,ipsc_only_regression_targets.csv,Splicing not known to cause NMD
exon:chr10:105155503-105155789:-,ipsc_npc_mn_regression_targets.csv,Splicing not known to cause NMD
exon:chr10:105770574-105770666:+,correlated_actual_filtered_targets.csv,Splicing not known to cause NMD
exon:chr10:1089939-1090111:-,ipsc_only_regression_targets.csv,Splicing not known to cause NMD
exon:chr10:112660784-112660880:-,correlated_actual_filtered_targets.csv,Inclusion causes NMD (annotated)
exon:chr10:114724315-114724383:+,UPF1_K562_SE.MATS.ReadsOnTargetAndJunctionCounts_targets.csv,Splicing not known to cause NMD
exon:chr10:114724315-114724383:+,UPF1_K562_SE.MATS.JunctionCountOnly_targets.csv,Splicing not known to cause NMD
exon:chr10:115922396-115923088:-,correlated_actual_filtered_targets.csv,Splicing not known to cause NMD
exon:chr10:116213138-116213242:-,ipsc_npc_mn_regression_targets.csv,Splicing not known to cause NMD
exon:chr10:11929846-11929952:-,UPF1_K562_SE.MATS.ReadsOnTargetAndJunctionCounts_targets.csv,Splicing not known to cause NMD
exon:chr10:11929846-11929952:-,UPF1_K562_SE.MATS.JunctionCountOnly_targets.csv,Splicing not known to cause NMD
exon:chr10:11929846-11929956:-,UPF1_K562_SE.MATS.ReadsOnTargetAndJunctionCounts_targets.csv,Exon not found
exon:chr10:11929846-11929956:-,UPF1_K562_SE.MATS.JunctionCountOnly_targets.csv,Exon not found
exon:chr10:120082537-120082709:-,UPF1_K562_SE.MATS.JunctionCountOnly_targets.csv,Exon not found
exon:chr10:120082537-120082709:-,UPF1_K562_SE.MATS.ReadsOnTargetAndJunctionCounts_targets.csv,Exon not found
exon:chr10:120094908-120094938:-,correlated_actual_filtered_targets.csv,Splicing not known to cause NMD
exon:chr10:120864276-120864534:+,correlated_actual_filtered_targets.csv,Splicing not known to cause NMD
exon:chr10:120864823-120865007:+,UPF1_K562_SE.MATS.JunctionCountOnly_targets.csv,Splicing not known to cause NMD
exon:chr10:124187792-124187936:+,correlated_actual_filtered_targets.csv,Splicing not known to cause NMD
exon:chr10:124609940-124610066:-,correlated_actual_filtered_targets.csv,Splicing not known to cause NMD
exon:chr10:124746850-124747020:+,correlated_actual_filtered_targets.csv,Splicing not known to cause NMD
exon:chr10:124797263-124797363:+,correlated_actual_filtered_targets.csv,Splicing not known to cause NMD
