,event_id,gene_name,n_cells,slope,r_squared
0,isoform1=junction:chr10:101507148-101514285:+|isoform2=junction:chr10:101507148-101510125:+@exon:chr10:101510126-101510153:+@junction:chr10:101510154-101514285:+,CUTC,67,0.526604095,0.038725959
1,isoform1=junction:chr10:104210088-104215093:+|isoform2=junction:chr10:104210088-104211155:+@exon:chr10:104211156-104211312:+@junction:chr10:104211313-104215093:+,C10orf95,70,1.191007897,0.089562172
2,isoform1=junction:chr10:105152224-105156165:-|isoform2=junction:chr10:105155790-105156165:-@exon:chr10:105155503-105155789:-@junction:chr10:105152224-105155502:-,USMG5,184,0.962775388,0.026709486
3,isoform1=junction:chr10:105158286-105160153:+|isoform2=junction:chr10:105158286-105159490:+@novel_exon:chr10:105159491-105159587:+@junction:chr10:105159588-105160153:+,PDCD11,113,1.236359861,0.085170096
4,isoform1=junction:chr10:116211431-116225456:-|isoform2=junction:chr10:116213243-116225456:-@exon:chr10:116213138-116213242:-@junction:chr10:116211431-116213137:-,ABLIM1,64,1.193128851,0.054285571
5,isoform1=junction:chr10:14920919-14938844:+|isoform2=junction:chr10:14920919-14923498:+@exon:chr10:14923499-14923644:+@junction:chr10:14923645-14938844:+,SUV39H2,52,0.928282098,0.041890854
6,isoform1=junction:chr10:16635496-16794537:-|isoform2=junction:chr10:16737155-16794537:-@exon:chr10:16737022-16737154:-@junction:chr10:16635496-16737021:-,RSU1,100,0.585883465,0.002926905
7,isoform1=junction:chr10:27059275-27065993:-|isoform2=junction:chr10:27060019-27065993:-@exon:chr10:27060004-27060018:-@junction:chr10:27059275-27060003:-,ABI1,55,1.639115432,0.188496572
8,isoform1=junction:chr10:7822271-7829782:-|isoform2=junction:chr10:7825139-7829782:-@exon:chr10:7825044-7825138:-@junction:chr10:7822271-7825043:-,KIN,79,1.136880743,0.068651241
9,isoform1=junction:chr10:7844818-7849621:+|isoform2=junction:chr10:7844818-7848936:+@exon:chr10:7848937-7848973:+@junction:chr10:7848974-7849621:+,ATP5C1,187,-0.582710622,-0.014523188
10,isoform1=junction:chr10:79797063-79800372:+|isoform2=junction:chr10:79797063-79799961:+@exon:chr10:79799962-79799983:+@junction:chr10:79799984-79800372:+,RPS24,193,-2.999633426,0.449645095
11,isoform1=junction:chr10:96314006-96317895:+|isoform2=junction:chr10:96314006-96316935:+@exon:chr10:96316936-96316979:+@junction:chr10:96316980-96317895:+,HELLS,105,0.804065192,0.026581604
12,isoform1=junction:chr10:98667505-98708764:+|isoform2=junction:chr10:98667505-98703869:+@exon:chr10:98703870-98704002:+@junction:chr10:98704003-98708764:+,LCOR,52,0.72752397,-0.046679593
13,isoform1=junction:chr11:111956187-111957363:-|isoform2=junction:chr11:111957035-111957363:-@exon:chr11:111956702-111957034:-@junction:chr11:111956187-111956701:-,C11orf57,168,1.32973441,-0.006599813
14,isoform1=junction:chr11:111956187-111957363:-|isoform2=junction:chr11:111957035-111957363:-@exon:chr11:111956702-111957034:-@junction:chr11:111956187-111956701:-,SDHD,168,-1.561417087,-0.301936504
15,isoform1=junction:chr11:111956187-111957363:-|isoform2=junction:chr11:111957035-111957363:-@exon:chr11:111956702-111957034:-@junction:chr11:111956187-111956701:-,TIMM8B,168,1.655874897,0.066220695
16,isoform1=junction:chr11:126081726-126104889:+|isoform2=junction:chr11:126081726-126099119:+@exon:chr11:126099120-126099188:+@junction:chr11:126099189-126104889:+,RPUSD4,54,-1.605933522,-0.207501312
17,isoform1=junction:chr11:33744010-33757927:-|isoform2=junction:chr11:33753015-33757927:-@exon:chr11:33752970-33753014:-@junction:chr11:33744010-33752969:-,CD59,112,0.935359103,0.018995695
18,isoform1=junction:chr11:3381796-3392204:-|isoform2=junction:chr11:3383120-3392204:-@exon:chr11:3382973-3383119:-@junction:chr11:3381796-3382972:-,ZNF195,79,1.275042123,0.157120634
19,isoform1=junction:chr11:46780993-46782161:-|isoform2=junction:chr11:46781926-46782161:-@exon:chr11:46781902-46781925:-@junction:chr11:46780993-46781901:-,CKAP5,55,0.887760148,0.122516494
20,isoform1=junction:chr11:57505141-57505825:+|isoform2=junction:chr11:57505141-57505384:+@exon:chr11:57505385-57505498:+@junction:chr11:57505499-57505825:+,TMX2,77,1.02171469,0.027638571
21,isoform1=junction:chr11:63991440-63991756:-|isoform2=junction:chr11:63991683-63991756:-@exon:chr11:63991572-63991682:-@junction:chr11:63991440-63991571:-,TRPT1,58,1.550770875,0.103231043
22,isoform1=junction:chr11:66052438-66053171:-|isoform2=junction:chr11:66053008-66053171:-@exon:chr11:66052852-66053007:-@junction:chr11:66052438-66052851:-,CNIH2,52,-2.954620577,0.015102965
23,isoform1=junction:chr11:82985784-82991183:-|isoform2=junction:chr11:82989873-82991183:-@exon:chr11:82989769-82989872:-@junction:chr11:82985784-82989768:-,CCDC90B,136,0.671866978,0.006529257
24,isoform1=junction:chr11:884170-899339:-|isoform2=junction:chr11:893520-899339:-@exon:chr11:893427-893519:-@junction:chr11:884170-893426:-,CHID1,61,0.624571466,0.002782982
25,isoform1=junction:chr12:102547755-102559506:+|isoform2=junction:chr12:102547755-102558215:+@exon:chr12:102558216-102558386:+@junction:chr12:102558387-102559506:+,PARPBP,53,1.155310018,0.125374475
26,isoform1=junction:chr12:104345409-104350408:-|isoform2=junction:chr12:104347313-104350408:-@exon:chr12:104347192-104347312:-@junction:chr12:104345409-104347191:-,C12orf73,71,0.90447234,0.017522711
