,event_id,gene_name,n_cells,slope
0,isoform1=junction:chr10:105152224-105156165:-|isoform2=junction:chr10:105155790-105156165:-@exon:chr10:105155503-105155789:-@junction:chr10:105152224-105155502:-,USMG5,56,1.071393985
1,isoform1=junction:chr10:105158286-105160153:+|isoform2=junction:chr10:105158286-105159490:+@novel_exon:chr10:105159491-105159587:+@junction:chr10:105159588-105160153:+,PDCD11,47,1.420318847
2,isoform1=junction:chr10:1089334-1094803:-|isoform2=junction:chr10:1090112-1094803:-@exon:chr10:1089939-1090111:-@junction:chr10:1089334-1089938:-,IDI1,57,1.289809898
3,isoform1=junction:chr10:14920919-14938844:+|isoform2=junction:chr10:14920919-14923498:+@exon:chr10:14923499-14923644:+@junction:chr10:14923645-14938844:+,DCLRE1C,29,1.171892679
4,isoform1=junction:chr10:14920919-14938844:+|isoform2=junction:chr10:14920919-14923498:+@exon:chr10:14923499-14923644:+@junction:chr10:14923645-14938844:+,SUV39H2,29,2.213259003
5,isoform1=junction:chr10:73975831-73990123:+|isoform2=junction:chr10:73975831-73983645:+@exon:chr10:73983646-73983814:+@junction:chr10:73983815-73990123:+,ANAPC16,23,1.116771844
6,isoform1=junction:chr10:73975831-73990123:+|isoform2=junction:chr10:73975831-73983645:+@exon:chr10:73983646-73983814:+@junction:chr10:73983815-73990123:+,ASCC1,23,1.41146556
7,isoform1=junction:chr10:76158338-76349039:+|isoform2=junction:chr10:76158338-76285013:+@exon:chr10:76285014-76285184:+@junction:chr10:76285185-76349039:+,ADK,37,-2.680034987
8,isoform1=junction:chr10:7822271-7829782:-|isoform2=junction:chr10:7825139-7829782:-@exon:chr10:7825044-7825138:-@junction:chr10:7822271-7825043:-,KIN,37,1.754151189
9,isoform1=junction:chr11:111956187-111957363:-|isoform2=junction:chr11:111957035-111957363:-@exon:chr11:111956702-111957034:-@junction:chr11:111956187-111956701:-,C11orf57,57,2.935332485
10,isoform1=junction:chr11:111956187-111957363:-|isoform2=junction:chr11:111957035-111957363:-@exon:chr11:111956702-111957034:-@junction:chr11:111956187-111956701:-,SDHD,57,-1.599667903
11,isoform1=junction:chr11:111956187-111957363:-|isoform2=junction:chr11:111957035-111957363:-@exon:chr11:111956702-111957034:-@junction:chr11:111956187-111956701:-,TIMM8B,57,1.421613956
12,isoform1=junction:chr11:125496729-125499126:+|isoform2=junction:chr11:125496729-125497501:+@exon:chr11:125497502-125497725:+@junction:chr11:125497726-125499126:+,CHEK1,51,-1.224755632
13,isoform1=junction:chr11:126081726-126104889:+|isoform2=junction:chr11:126081726-126099119:+@exon:chr11:126099120-126099188:+@junction:chr11:126099189-126104889:+,RPUSD4,32,-1.337826805
14,isoform1=junction:chr11:31455118-31531065:-|isoform2=junction:chr11:31484853-31531065:-@exon:chr11:31484719-31484852:-@junction:chr11:31455118-31484718:-,IMMP1L,25,1.403938563
15,isoform1=junction:chr11:47587539-47593022:+|isoform2=junction:chr11:47587539-47591251:+@exon:chr11:47591252-47591443:+@junction:chr11:47591444-47593022:+,NDUFS3,33,6.390972298
16,isoform1=junction:chr11:47587539-47593022:+|isoform2=junction:chr11:47587539-47591251:+@exon:chr11:47591252-47591443:+@junction:chr11:47591444-47593022:+,PTPMT1,33,1.357237463
17,isoform1=junction:chr11:47656287-47660250:-|isoform2=junction:chr11:47657124-47660250:-@exon:chr11:47657097-47657123:-@junction:chr11:47656287-47657096:-,MTCH2,57,-1.946700888
18,isoform1=junction:chr11:62600604-62601263:-|isoform2=junction:chr11:62601147-62601263:-@exon:chr11:62601090-62601146:-@junction:chr11:62600604-62601089:-,WDR74,25,-3.864561545
19,isoform1=junction:chr11:63991440-63991756:-|isoform2=junction:chr11:63991683-63991756:-@exon:chr11:63991572-63991682:-@junction:chr11:63991440-63991571:-,TRPT1,24,1.286542179
20,isoform1=junction:chr11:66052438-66053171:-|isoform2=junction:chr11:66053008-66053171:-@exon:chr11:66052852-66053007:-@junction:chr11:66052438-66052851:-,CNIH2,35,-2.110040086
21,isoform1=junction:chr11:73584440-73587801:-|isoform2=junction:chr11:73587621-73587801:-@exon:chr11:73587524-73587620:-@junction:chr11:73584440-73587523:-,PAAF1,47,-3.104760459
22,isoform1=junction:chr11:82639981-82642773:+|isoform2=junction:chr11:82639981-82641198:+@exon:chr11:82641199-82641316:+@junction:chr11:82641317-82642773:+,C11orf82,24,-1.236680588
23,isoform1=junction:chr11:82639981-82642773:+|isoform2=junction:chr11:82639981-82641198:+@exon:chr11:82641199-82641316:+@junction:chr11:82641317-82642773:+,PRCP,24,2.070345409
24,isoform1=junction:chr12:104359839-104373608:+|isoform2=junction:chr12:104359839-104370695:+@exon:chr12:104370696-104370838:+@junction:chr12:104370839-104373608:+,TDG,57,-5.397400405
